formula,bandgap,formation_energy,n_sites,volume,density,volume_per_atm,n_elements,mean_electronegativity,electronegativity_diff,mean_atomicmass,mean_row,mean_group
Ag2S,1.3634,-0.11352241760416601,6,135.05714760492964,6.093478402738798,22.509524600821607,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,1.3001,-0.10845525260416601,6,128.132989564584,6.422762903314116,21.355498260763998,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,0.6242999999999991,-0.061040652048610006,9,194.7574846231727,6.338404505930548,21.639720513685855,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,1.442799999999999,-0.10776626593749901,6,129.09186767342166,6.37505543066508,21.51531127890361,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,1.0895,-0.10611317427083301,6,123.28056696405525,6.675568034223078,20.546761160675874,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,1.0853,-0.11835359593749901,6,122.88528831267232,6.697040983231169,20.480881385445386,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag3AuS2,1.563399999999999,-0.09499693510416701,6,152.22733359231614,6.378086719747311,25.371222265386024,3,2.35,0.6500000000000001,112.29992299999999,4.666666666666667,12.666666666666666
Ag3SI,0.5478000000000001,-0.260465865499998,5,121.85555000145258,6.57609027141712,24.371110000290518,3,2.39,0.7300000000000002,88.94589,4.333333333333333,14.666666666666666
Ag3SI,0.6242999999999991,-0.21088855749999802,5,125.72032925181091,6.373934125464375,25.144065850362182,3,2.39,0.7300000000000002,88.94589,4.333333333333333,14.666666666666666
AgAsF6,1.6805999999999992,-2.201692029895833,8,143.5472964175908,3.4331203802724497,17.94341205219885,3,2.6966666666666668,2.05,67.2627344,3.6666666666666665,14.333333333333334
AgAsO2,2.3783,-1.157919233541666,8,140.80601625330362,5.066045774876641,17.600752031662953,3,2.516666666666667,1.51,66.26306666666667,3.6666666666666665,14.0
AgAuO2,0.6522999999999991,-0.46954475916666605,8,115.7161805496547,9.667192580872468,14.464522568706837,3,2.6366666666666667,1.51,106.944723,4.333333333333333,12.666666666666666
AgBiO2,0.7818,-1.104952774166666,8,151.67376595252597,7.638430194612248,18.959220744065746,3,2.4633333333333334,1.51,110.94933333333334,4.333333333333333,14.0
AgBiO2,1.6897,-1.113817327916666,8,150.51971111835894,7.69699506446247,18.814963889794868,3,2.4633333333333334,1.51,110.94933333333334,4.333333333333333,14.0
AgBiO2,1.4247,-1.147583364166665,8,142.24093737974394,8.144979180566835,17.780117172467993,3,2.4633333333333334,1.51,110.94933333333334,4.333333333333333,14.0
AgBiO2,1.2491,-1.123922422916666,8,152.80025595610635,7.582117361865756,19.100031994513294,3,2.4633333333333334,1.51,110.94933333333334,4.333333333333333,14.0
AgBiO2,0.956399999999999,-1.105013017916666,4,75.82264128835958,7.6398649130163445,18.955660322089894,3,2.4633333333333334,1.51,110.94933333333334,4.333333333333333,14.0
AgBiS2,0.5212,-0.28982440932292103,4,90.46991529646746,6.992709649935385,22.617478824116866,3,2.1766666666666667,0.6500000000000001,116.30453333333334,4.666666666666667,14.0
AgBr,1.244199999999999,-0.659350243333333,4,96.76020531533173,6.4448617722735335,24.190051328832933,2,2.445,1.03,93.8861,4.5,14.0
AgBr,0.730399999999999,-0.6596210383333321,2,48.383937881431955,6.4443509108571115,24.191968940715977,2,2.445,1.03,93.8861,4.5,14.0
AgBr,0.6990000000000001,-0.587576648333332,4,99.85425283174811,6.245163632287955,24.963563207937028,2,2.445,1.03,93.8861,4.5,14.0
AgBr,1.1708,-0.6291156683333321,2,60.73660179372757,5.133693110062352,30.368300896863786,2,2.445,1.03,93.8861,4.5,14.0
AgBrO3,2.383,-0.28503579633333204,5,77.26506831359747,5.067049949478875,15.453013662719494,3,2.776666666666667,1.51,67.92386666666667,3.6666666666666665,14.666666666666666
AgCl,0.7131999999999991,-0.568070003749999,4,85.2095426357554,5.586004680762883,21.30238565893885,2,2.545,1.2300000000000002,71.6606,4.0,14.0
AgCl,0.9522,-0.568439933749999,2,42.63058134852442,5.582622720033225,21.31529067426221,2,2.545,1.2300000000000002,71.6606,4.0,14.0
AgCl,0.8720000000000001,-0.5571698837499991,4,87.59563002765415,5.43384303370757,21.898907506913538,2,2.545,1.2300000000000002,71.6606,4.0,14.0
AgCl,0.6022000000000001,-0.43170986374999903,2,40.49399533067414,5.877178827652496,20.24699766533707,2,2.545,1.2300000000000002,71.6606,4.0,14.0
AgClO2,0.9151,-0.050428077916666,8,189.78251330669534,3.0679929830266794,23.722814163336917,3,2.8433333333333333,1.51,53.10686666666667,3.3333333333333335,14.666666666666666
AgClO2,0.911899999999999,-0.09205651541666601,8,164.67362985675246,3.535790275787337,20.584203732094057,3,2.8433333333333333,1.51,53.10686666666667,3.3333333333333335,14.666666666666666
AgClO2,0.864699999999999,-0.256371372916666,8,185.39822517391005,3.1405447305654426,23.174778146738756,3,2.8433333333333333,1.51,53.10686666666667,3.3333333333333335,14.666666666666666
AgClO3,2.7117,-0.352711819333332,5,76.84405818753127,4.134260290717987,15.368811637506255,3,2.8433333333333333,1.51,53.10686666666667,3.3333333333333335,14.666666666666666
AgClO4,2.3558,-0.414067270277776,6,81.38981885634249,4.229779251987908,13.564969809390414,3,2.8433333333333333,1.51,53.10686666666667,3.3333333333333335,14.666666666666666
AgClO4,2.3744,-0.29747421361111104,6,99.01785879711768,3.476756327633624,16.50297646618628,3,2.8433333333333333,1.51,53.10686666666667,3.3333333333333335,14.666666666666666
AgH,0.8512000000000001,0.120898396666667,4,46.61407852899992,7.757016328477977,11.65351963224998,2,2.065,0.27000000000000024,54.43807,3.0,6.0
AgI,1.879699999999999,0.355860671666667,2,732.608939448734,0.5321381843129188,366.304469724367,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgI,1.3877000000000002,-0.46514602333333405,4,141.9508120425751,5.492736325210108,35.48770301064378,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgI,0.7684000000000001,-0.37274297833333203,2,58.69273120224999,6.642205650752157,29.346365601124994,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgI,1.3674,-0.46535334333333106,2,70.71047378171399,5.513316061961939,35.35523689085699,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgI,1.5986,-0.46134082333333204,4,132.86355251753565,5.86841437644397,33.21588812938391,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgI,0.9588999999999991,-0.362143248333332,4,116.55232633695874,6.689685278740612,29.138081584239686,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgI,1.3759000000000001,-0.46775989833333204,8,268.40342893369245,5.809898813863102,33.55042861671156,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgI,1.3143,-0.46390137333333203,2,73.27548446624623,5.320322256337224,36.63774223312311,2,2.295,0.7300000000000002,117.386335,5.0,14.0
AgN3,1.5714000000000001,0.624941838333334,8,115.16431806585773,4.322439142680785,14.395539758232216,2,2.485,1.11,60.93745,3.5,13.0
AgN3,1.631499999999999,0.644938685833334,8,102.30791726440519,4.865613234619075,12.788489658050649,2,2.485,1.11,60.93745,3.5,13.0
AgNO2,1.7868,-0.49077906666666504,4,63.222940543610015,4.041464827992727,15.805735135902504,3,2.8033333333333332,1.51,45.9581,3.0,14.0
AgNO2,1.4382000000000001,-0.49782944291666603,8,129.52106453362518,3.94550942658352,16.190133066703147,3,2.8033333333333332,1.51,45.9581,3.0,14.0
AgNO3,1.853899999999999,-0.6806635453333341,10,125.10450403344892,4.509524600859049,12.510450403344892,3,2.8033333333333332,1.51,45.9581,3.0,14.0
